Order;MS Zoning;Lot Frontage;Lot Area;Land Contour;Land Slope;Overall Qual;Year Built;Year Remod/Add;Mas Vnr Type;Exter Qual;Bsmt Cond;Total Bsmt SF;Heating QC;Central Air;Full Bath;Half Bath;Bedroom AbvGr;Kitchen AbvGr;Kitchen Qual;TotRms AbvGrd;Garage Cars;Garage Area;Garage Cond;Pool Area;Pool QC;Mo Sold;Yr Sold;SalePrice
79;RL;50;7175;Lvl;Gtl;6;1984;1984;None;TA;TA;744;TA;Y;1;0;2;1;TA;4;1;264;TA;0;Sp;2;2010;125000
80;RL;;9453;Lvl;Gtl;7;1993;2003;None;Gd;TA;996;Ex;Y;2;1;3;1;Gd;7;2;457;TA;0;Sp;2;2010;194500
81;RL;81;9672;Lvl;Gtl;6;1984;1985;None;TA;TA;1040;TA;Y;2;0;3;1;TA;6;2;480;TA;0;Sp;5;2010;152000
82;RL;70;8400;Lvl;Gtl;6;1980;1981;BrkFace;TA;TA;650;TA;Y;2;1;3;1;TA;7;2;476;TA;0;Sp;4;2010;171000
83;RH;70;9800;Lvl;Gtl;5;1920;1950;None;TA;TA;816;TA;N;1;0;2;1;TA;5;1;429;TA;0;Sp;4;2010;67500
84;RM;68;8930;Lvl;Gtl;6;1978;1978;None;TA;Ss;0;TA;Y;2;0;4;2;TA;8;2;539;TA;0;Sp;4;2010;112000
85;RL;88;11782;Lvl;Gtl;5;1961;1995;None;TA;TA;1109;TA;Y;1;0;3;1;Gd;6;2;576;TA;0;Sp;6;2010;148000
86;RL;65;8450;Lvl;Gtl;5;1965;2009;None;TA;TA;894;Ex;Y;1;0;3;1;TA;5;1;336;TA;0;Sp;4;2010;138500
87;RL;;9819;Lvl;Gtl;5;1967;1967;BrkFace;TA;TA;882;TA;Y;1;0;3;1;TA;5;1;280;TA;0;Sp;2;2010;122000
88;RL;75;7500;Lvl;Gtl;5;1963;1963;None;TA;TA;1040;Fa;Y;1;1;3;1;TA;5;1;308;TA;0;Sp;6;2010;133000
89;RL;;6897;Lvl;Gtl;5;1962;2010;None;TA;TA;1040;Ex;Y;1;1;3;1;TA;6;1;260;TA;0;Sp;4;2010;127000
90;RL;39;15410;Lvl;Gtl;6;1974;2002;BrkCmn;TA;TA;1208;Ex;Y;2;0;3;1;TA;7;2;461;TA;0;Sp;4;2010;169000
91;RL;107;10186;Lvl;Gtl;7;1992;1992;None;Gd;TA;750;Ex;Y;2;1;3;1;Gd;8;2;564;TA;0;Sp;6;2010;190000
92;RL;85;13143;Lvl;Gtl;8;1993;1993;BrkFace;Gd;TA;1231;Ex;Y;2;1;4;1;Gd;9;3;762;TA;0;Sp;6;2010;362500
93;RL;88;11134;Lvl;Gtl;8;1992;1993;BrkFace;Gd;TA;1390;Ex;Y;2;1;4;1;Gd;7;3;713;TA;0;Sp;6;2010;285000
94;FV;25;4835;Lvl;Gtl;7;2004;2005;None;Gd;TA;1488;Ex;Y;2;0;2;1;Gd;6;2;506;TA;0;Sp;3;2010;260000
95;FV;39;3515;Lvl;Gtl;7;2004;2004;None;Gd;TA;840;Ex;Y;2;1;2;1;Gd;3;2;588;TA;0;Sp;1;2010;190000
96;FV;30;3215;Lvl;Gtl;7;2004;2004;BrkFace;Gd;TA;600;Ex;Y;2;1;2;1;Gd;4;2;480;TA;0;Sp;4;2010;155000
97;FV;30;3182;Lvl;Gtl;7;2004;2005;None;Gd;TA;600;Ex;Y;2;1;2;1;Gd;4;2;480;TA;0;Sp;6;2010;151000
98;FV;24;2544;Lvl;Gtl;7;2004;2005;None;Gd;TA;600;Ex;Y;2;1;2;1;Gd;4;2;480;TA;0;Sp;2;2010;149500
99;FV;24;2544;Lvl;Gtl;6;2005;2005;BrkFace;Gd;TA;600;Ex;Y;2;1;2;1;Gd;4;2;480;TA;0;Sp;5;2010;152000
100;FV;;4403;Lvl;Gtl;7;2009;2009;Stone;Ex;TA;1470;Ex;Y;2;1;2;1;Gd;7;2;484;TA;0;Sp;6;2010;222000
101;FV;;2117;Lvl;Gtl;6;2000;2000;BrkFace;Gd;TA;756;Ex;Y;2;1;3;1;Gd;5;2;440;TA;0;Sp;6;2010;177500
102;FV;;2980;Lvl;Gtl;6;2000;2000;BrkFace;Gd;TA;756;Ex;Y;2;1;2;1;Gd;5;2;440;TA;0;Sp;5;2010;177000
103;FV;24;2572;Lvl;Gtl;7;1999;1999;None;Gd;TA;696;Ex;Y;2;1;3;1;Gd;6;2;484;TA;0;Sp;5;2010;155000
104;FV;;2403;Lvl;Gtl;7;2003;2003;None;Gd;TA;530;Ex;Y;2;1;2;1;Gd;4;2;496;TA;0;Sp;6;2010;147110
105;FV;57;12853;Lvl;Gtl;8;2010;2010;None;Gd;Po;1642;Ex;Y;1;1;1;1;Gd;6;3;852;TA;0;Sp;4;2010;267916
106;FV;68;7379;Lvl;Gtl;8;2000;2000;None;Gd;TA;975;Ex;Y;2;1;3;1;Gd;7;2;592;TA;0;Sp;4;2010;254000
107;RL;30;4420;Lvl;Gtl;8;1980;1980;None;Gd;TA;728;TA;Y;1;0;1;1;Gd;3;2;484;TA;0;Sp;6;2010;155000
108;RL;40;3880;Lvl;Gtl;8;1978;1978;None;Gd;TA;1226;TA;Y;1;0;1;1;Gd;4;2;484;TA;0;Sp;1;2010;206000
109;RL;;13517;Lvl;Gtl;6;1976;2005;BrkFace;Gd;TA;725;Ex;Y;2;1;3;1;Gd;6;2;475;TA;0;Sp;3;2010;130500
110;FV;80;8000;Lvl;Gtl;7;2002;2002;None;Gd;TA;1492;Ex;Y;2;0;3;1;Gd;6;2;596;TA;0;Sp;4;2010;230000
111;RL;;10456;Lvl;Gtl;6;1967;1967;BrkFace;TA;TA;1829;Gd;Y;2;0;4;1;TA;8;2;535;TA;0;Sp;5;2010;218500
112;RL;80;10791;Lvl;Gtl;6;1993;1993;None;TA;TA;1280;Ex;Y;2;1;4;1;Gd;9;2;660;TA;0;Sp;3;2010;243500
113;RL;;10603;Lvl;Gtl;6;1977;2001;BrkFace;TA;TA;1610;Gd;Y;2;0;3;1;Gd;6;2;480;TA;0;Sp;2;2010;205000
114;RL;;18837;Lvl;Gtl;6;1978;1978;None;TA;TA;1224;TA;Y;3;0;3;1;TA;7;2;678;TA;0;Sp;4;2010;212500
115;RL;80;10421;Lvl;Gtl;7;1988;1988;BrkFace;TA;TA;980;TA;Y;2;1;3;1;TA;7;2;496;TA;0;Sp;3;2010;196500
116;RL;78;9360;Lvl;Gtl;6;1972;2006;None;TA;TA;1161;TA;Y;1;1;3;1;Gd;5;2;676;TA;0;Sp;3;2010;197500
117;RL;80;9600;Lvl;Gtl;6;1971;1971;None;TA;TA;715;TA;Y;1;2;4;1;TA;7;2;441;TA;0;Sp;6;2010;171000
118;RL;80;9600;Lvl;Gtl;5;1966;1966;BrkFace;TA;TA;1232;TA;Y;1;1;3;1;TA;6;2;490;TA;0;Sp;4;2010;142250
119;RL;;9790;Lvl;Gtl;6;1963;1963;BrkFace;TA;TA;1328;TA;Y;1;1;3;1;TA;6;2;528;TA;0;Sp;6;2010;143000
120;RL;77;9320;Lvl;Gtl;4;1959;1959;None;TA;TA;950;Fa;Y;1;1;3;1;TA;6;0;0;Sg;0;Sp;1;2010;128950
121;RL;90;9900;Lvl;Gtl;5;1966;1966;None;TA;TA;1209;Gd;Y;1;0;3;1;TA;6;2;504;TA;0;Sp;4;2010;159000
122;RL;88;9680;Lvl;Gtl;5;1967;1967;BrkFace;TA;TA;1510;Ex;Y;2;0;3;1;Gd;6;2;517;TA;0;Sp;4;2010;178900
123;RL;;10600;Lvl;Gtl;6;1964;1964;None;TA;TA;533;TA;Y;2;0;3;1;TA;8;2;480;TA;0;Sp;5;2010;136300
124;RL;;14112;Lvl;Gtl;5;1964;1964;BrkFace;TA;TA;1152;TA;Y;1;0;3;1;TA;6;2;484;TA;0;Sp;4;2010;180500
125;RL;80;8800;Lvl;Gtl;6;1963;1963;BrkFace;TA;TA;936;Ex;Y;1;0;3;1;Gd;6;2;480;TA;0;Sp;5;2010;137500
126;RL;98;13260;Lvl;Gtl;5;1962;2001;BrkFace;TA;TA;1728;TA;Y;2;0;6;2;TA;10;0;0;Sg;0;Sp;1;2010;84900
127;RL;68;9717;Lvl;Gtl;5;1950;1996;None;TA;TA;1078;Gd;Y;1;0;2;1;Gd;5;1;240;TA;0;Sp;4;2010;142125
128;RL;68;9724;Lvl;Gtl;5;1952;2002;BrkFace;Gd;TA;1140;Gd;Y;2;0;3;1;TA;7;2;400;TA;0;Sp;3;2010;197600
129;RL;120;17360;Lvl;Gtl;6;1949;1950;Stone;TA;TA;782;TA;Y;2;0;3;1;TA;6;2;470;TA;0;Sp;1;2010;172500
130;RL;50;7207;Lvl;Gtl;5;1958;2008;None;TA;TA;858;Gd;Y;1;0;2;1;TA;4;0;0;Sg;0;Sp;2;2010;116500
131;RL;55;5350;Lvl;Gtl;3;1940;1966;None;TA;TA;728;Ex;Y;1;0;3;1;Fa;6;0;0;Sg;0;Sp;5;2010;76500
132;RL;80;9920;Lvl;Gtl;5;1954;1954;Stone;TA;TA;1056;TA;Y;1;0;3;1;TA;6;1;280;TA;0;Sp;2;2010;128000
133;RL;80;9600;Lvl;Gtl;6;1955;1972;BrkFace;TA;TA;1156;Ex;Y;1;0;3;1;TA;7;1;364;TA;0;Sp;3;2010;153000
134;RL;78;7800;Lvl;Gtl;5;1954;1954;BrkFace;TA;TA;1268;Gd;Y;1;0;2;1;TA;7;1;244;TA;0;Sp;3;2010;132000
135;RL;75;11380;Lvl;Gtl;6;1966;2008;BrkFace;TA;TA;1080;Gd;Y;1;0;2;1;Gd;5;1;315;TA;0;Sp;1;2010;178000
136;RL;80;11600;Lvl;Gtl;5;1960;1960;BrkFace;TA;TA;1105;TA;Y;2;0;5;2;TA;12;2;480;TA;0;Sp;1;2010;154300
137;RL;;19900;Lvl;Gtl;7;1970;1989;BrkFace;TA;TA;1947;TA;Y;2;0;3;1;TA;7;2;576;TA;0;Sp;7;2010;180000
138;RL;137;16492;Lvl;Gtl;6;1966;2002;None;Gd;TA;1517;Ex;Y;2;1;2;1;Gd;6;2;578;TA;0;Sp;6;2010;190000
139;RL;70;8267;Lvl;Gtl;5;1958;1958;None;TA;TA;1604;TA;Y;2;0;4;2;TA;8;2;576;TA;0;Sp;3;2010;135000
140;RL;70;8197;Lvl;Gtl;7;2003;2009;BrkFace;Gd;TA;1480;Ex;Y;2;0;3;1;Gd;7;2;620;TA;0;Sp;2;2010;214000
141;RL;;8050;Lvl;Gtl;5;1959;1959;BrkFace;TA;TA;1143;TA;Y;1;0;3;1;TA;6;1;308;TA;0;Sp;5;2010;136000
142;RL;70;10552;Lvl;Gtl;5;1959;1959;None;TA;TA;1398;Gd;Y;1;1;4;1;Gd;6;2;447;TA;0;Sp;4;2010;165500
143;RL;70;8400;Lvl;Gtl;5;1957;1957;None;TA;TA;1314;TA;Y;1;0;3;1;TA;5;1;294;TA;0;Sp;6;2010;145000
144;RL;73;8760;Lvl;Gtl;6;1959;1959;BrkFace;TA;TA;1194;TA;Y;1;0;3;1;TA;6;1;312;TA;0;Sp;4;2010;148000
145;RL;;12160;Lvl;Gtl;5;1959;1959;BrkFace;TA;TA;1188;Fa;Y;1;0;3;1;TA;6;2;531;TA;0;Sp;5;2010;142000
146;RL;73;9300;Lvl;Gtl;5;1960;1960;BrkFace;TA;TA;1268;TA;Y;1;0;3;1;TA;6;2;461;TA;0;Sp;4;2010;167500
147;RL;87;10725;Lvl;Gtl;5;1959;1959;BrkFace;TA;TA;1206;Fa;Y;1;0;3;1;TA;6;1;312;TA;0;Sp;5;2010;108538
148;RL;80;10032;Lvl;Gtl;6;1959;1959;Stone;TA;TA;1244;Ex;Y;1;1;3;1;TA;6;2;440;TA;0;Sp;6;2010;159500
149;RL;60;8382;Lvl;Gtl;4;1956;1956;None;TA;TA;832;TA;Y;1;0;3;1;TA;5;1;263;TA;0;Sp;2;2010;108000
150;RL;60;10950;Lvl;Gtl;5;1952;1952;None;TA;TA;864;TA;Y;1;0;2;1;Fa;4;1;318;TA;0;Sp;5;2010;135000
151;RL;119;10895;Lvl;Gtl;5;1955;1955;None;TA;TA;972;TA;Y;1;0;3;1;TA;5;1;305;TA;0;Sp;6;2010;122500
152;RL;70;13587;Lvl;Gtl;5;1958;1958;None;TA;TA;988;TA;Y;1;0;2;1;TA;5;1;264;TA;0;Sp;4;2010;119000
153;RL;68;7922;Lvl;Gtl;5;1953;2007;None;TA;TA;1057;TA;Y;1;0;3;1;Gd;5;1;246;TA;0;Sp;1;2010;109000
154;RL;65;7898;Lvl;Gtl;4;1920;1994;None;TA;TA;576;Gd;Y;1;0;2;1;TA;4;2;676;TA;0;Sp;4;2010;105000
155;RL;60;7200;Lvl;Gtl;5;1955;2007;None;TA;Ss;0;Ex;Y;1;0;2;1;TA;5;1;392;TA;0;Sp;4;2010;107500
156;RL;85;10200;Lvl;Gtl;5;1954;2003;BrkFace;TA;TA;1086;Gd;Y;1;0;3;1;TA;6;2;490;TA;0;Sp;5;2010;144900
157;RL;74;5868;Lvl;Gtl;5;1956;2000;None;TA;TA;936;Ex;Y;1;0;2;1;TA;4;1;308;TA;0;Sp;5;2010;129000
158;RL;78;17503;Lvl;Gtl;6;1948;1950;None;TA;TA;912;TA;Y;1;0;3;1;TA;6;1;330;TA;0;Sp;1;2010;97500
159;RL;64;6979;Lvl;Gtl;6;1980;1980;None;TA;TA;1056;Gd;Y;0;0;0;2;TA;4;2;576;TA;0;Sp;6;2010;144000
160;RL;;9830;Lvl;Gtl;5;1959;2006;None;TA;TA;1063;Ex;Y;1;0;3;1;Gd;7;2;576;TA;0;Sp;3;2010;162000
161;RL;96;11275;Lvl;Gtl;7;1967;2007;BrkFace;Gd;TA;710;Ex;Y;2;1;5;1;Gd;11;2;564;TA;0;Sp;6;2010;242000
162;RL;60;8064;Lvl;Gtl;6;1948;2004;None;TA;TA;816;TA;Y;1;0;3;1;TA;5;1;280;TA;0;Sp;5;2010;132000
163;RL;75;7500;Lvl;Gtl;5;1959;1994;None;TA;TA;1246;Ex;Y;1;1;3;1;Gd;6;1;305;TA;0;Sp;5;2010;154000
164;RL;71;8520;Lvl;Gtl;5;1952;1952;None;TA;TA;910;Fa;Y;2;0;4;1;TA;6;2;720;TA;0;Sp;6;2010;166000
165;RL;60;7200;Lvl;Gtl;5;1951;2000;None;TA;TA;900;TA;Y;1;0;3;1;Gd;5;2;576;TA;0;Sp;5;2010;134800
166;RL;87;10000;Lvl;Gtl;6;1962;1962;BrkFace;TA;TA;1116;TA;Y;1;1;3;1;TA;5;2;440;TA;0;Sp;2;2010;160000
